family	s_name
Lycopodiaceae	Huperzia × muramatsui
Lycopodiaceae	Huperzia carinata
Lycopodiaceae	Huperzia cryptomerina
Lycopodiaceae	Huperzia cunninghamioides
Lycopodiaceae	Huperzia fargesii
Lycopodiaceae	Huperzia fordii
Lycopodiaceae	Huperzia jejuensis
Lycopodiaceae	Huperzia miyoshiana
Lycopodiaceae	Huperzia phlegmaria
Lycopodiaceae	Huperzia quasipolytrichoides
Lycopodiaceae	Huperzia salvinioides
Lycopodiaceae	Huperzia selago
Lycopodiaceae	Huperzia selago var. appressa
Lycopodiaceae	Huperzia selago var. patens
Lycopodiaceae	Huperzia selago var. selago
Lycopodiaceae	Huperzia serrata
Lycopodiaceae	Huperzia serrata var. intermedia
Lycopodiaceae	Huperzia serrata var. longipetiolata
Lycopodiaceae	Huperzia serrata var. myriophyllifolia
Lycopodiaceae	Huperzia serrata var. serrata
Lycopodiaceae	Huperzia serrata var. serrata f. intermedia
Lycopodiaceae	Huperzia sieboldii
Lycopodiaceae	Huperzia sieboldii var. christenseniana
Lycopodiaceae	Huperzia somae
Lycopodiaceae	Huperzia squarrosa
Lycopodiaceae	Huperzia taiwanensis
Lycopodiaceae	Lycopodiella caroliniana
Lycopodiaceae	Lycopodiella cernua
Lycopodiaceae	Lycopodiella inundata
Lycopodiaceae	Lycopodium alpinum
Lycopodiaceae	Lycopodium annotinum
Lycopodiaceae	Lycopodium annotinum var. acrifolium
Lycopodiaceae	Lycopodium annotinum var. latifolium
Lycopodiaceae	Lycopodium casuarinoides
Lycopodiaceae	Lycopodium clavatum
Lycopodiaceae	Lycopodium clavatum var. asiaticum
Lycopodiaceae	Lycopodium clavatum var. nipponicum
Lycopodiaceae	Lycopodium complanatum
Lycopodiaceae	Lycopodium dendroideum
Lycopodiaceae	Lycopodium multispicatum
Lycopodiaceae	Lycopodium nikoense
Lycopodiaceae	Lycopodium obscurum
Lycopodiaceae	Lycopodium obscurum f. strictum
Lycopodiaceae	Lycopodium serratum var. alpestre
Lycopodiaceae	Lycopodium sitchense var. nikoense
Lycopodiaceae	Lycopodium veitchii
Lycopodiaceae	Lycopodium yueshanense
Lycopodiaceae	Phlegmariurus carinatus
Lycopodiaceae	Phlegmariurus cryptomerinus
Lycopodiaceae	Phlegmariurus cunninghamioides
Lycopodiaceae	Phlegmariurus fargesii
Lycopodiaceae	Phlegmariurus hamiltonii
Lycopodiaceae	Phlegmariurus phlegmaria
Lycopodiaceae	Phlegmariurus salvinioides
Lycopodiaceae	Phlegmariurus sieboldii
Isoëtaceae	Isoetes × michinokuana
Isoëtaceae	Isoëtes × michinokuana
Isoëtaceae	Isoetes asiatica
Isoëtaceae	Isoëtes asiatica
Isoëtaceae	Isoetes hallasanensis
Isoëtaceae	Isoetes japonica
Isoëtaceae	Isoëtes japonica
Isoëtaceae	Isoetes jejuensis
Isoëtaceae	Isoetes pseudojaponica
Isoëtaceae	Isoëtes pseudojaponica
Isoëtaceae	Isoetes sinensis
Isoëtaceae	Isoetes sinensis var. coreana
Isoëtaceae	Isoëtes sinensis var. coreana
Isoëtaceae	Isoetes sinensis var. sinensis
Isoëtaceae	Isoëtes sinensis var. sinensis
Isoëtaceae	Isoetes taiwanensis
Selaginellaceae	Selaginella aristata
Selaginellaceae	Selaginella boninensis
Selaginellaceae	Selaginella ciliaris
Selaginellaceae	Selaginella davidii
Selaginellaceae	Selaginella delicatula
Selaginellaceae	Selaginella devolii
Selaginellaceae	Selaginella doederleinii
Selaginellaceae	Selaginella flagellifera
Selaginellaceae	Selaginella helvetica
Selaginellaceae	Selaginella heterostachys
Selaginellaceae	Selaginella involvens
Selaginellaceae	Selaginella labordei
Selaginellaceae	Selaginella limbata
Selaginellaceae	Selaginella lutchuensis
Selaginellaceae	Selaginella moellendorffii
